gene,is_cgc
GAS7,in_cgc
GATA1,in_cgc
GATA2,in_cgc
GATA3,in_cgc
GLI1,in_cgc
GMPS,in_cgc
GNA11,in_cgc
GNAQ,in_cgc
GNAS,in_cgc
GOLGA5,in_cgc
GOPC,in_cgc
GPC3,in_cgc
GPC5,in_cgc
GPHN,in_cgc
GRIN2A,in_cgc
GRM3,in_cgc
H3F3A,in_cgc
H3F3B,in_cgc
HERPUD1,in_cgc
HEY1,in_cgc
HIF1A,in_cgc
HIP1,in_cgc
HIST1H3B,in_cgc
HIST1H4I,in_cgc
HLA-A,in_cgc
HLF,in_cgc
HMGA1,in_cgc
HMGA2,in_cgc
HMGN2P46,in_cgc
HNF1A,in_cgc
HNRNPA2B1,in_cgc
HOOK3,in_cgc
HOXA11,in_cgc
HOXA13,in_cgc
HOXA9,in_cgc
HOXC11,in_cgc
HOXC13,in_cgc
HOXD11,in_cgc
HOXD13,in_cgc
HRAS,in_cgc
HSP90AA1,in_cgc
HSP90AB1,in_cgc
ID3,in_cgc
IDH1,in_cgc
IDH2,in_cgc
IGF2BP2,in_cgc
IGH,in_cgc
IGK,in_cgc
IGL,in_cgc
IKBKB,in_cgc
IKZF1,in_cgc
IKZF3,in_cgc
IL2,in_cgc
IL21R,in_cgc
IL6ST,in_cgc
IL7R,in_cgc
IRF4,in_cgc
IRS4,in_cgc
ISX,in_cgc
ITGAV,in_cgc
ITK,in_cgc
JAK1,in_cgc
JAK2,in_cgc
JAK3,in_cgc
JAZF1,in_cgc
JUN,in_cgc
KAT6A,in_cgc
KAT6B,in_cgc
KAT7,in_cgc
KCNJ5,in_cgc
KDM5A,in_cgc
KDM5C,in_cgc
KDM6A,in_cgc
KDR,in_cgc
KDSR,in_cgc
KEAP1,in_cgc
KIAA1549,in_cgc
KIF5B,in_cgc
KIT,in_cgc
KLF4,in_cgc
KLF6,in_cgc
KLK2,in_cgc
KMT2A,in_cgc
KMT2C,in_cgc
KMT2D,in_cgc
KNL1,in_cgc
KNSTRN,in_cgc
KRAS,in_cgc
